Ticker,Log_Revenue_2025,Leverage,RD_Intensity,ETR,Treatment_Group,Log_Revenue_2022,Delta_Log_Revenue
AAPL,26.7452008717783,0.7947533828265705,0.0824391013740638,0.1948331204902203,1,26.700448887228625,0.044751984549677104
ABNB,23.200301059565522,0.6308087175792507,0.1928707552790891,0.20313134463027338,1,22.8513784880899,0.34892257147562233
ACN,24.967078375088455,0.5069803841116226,0.0,0.237380692248096,1,24.843835251913298,0.12324312317515762
ADBE,23.891648047597627,0.6059465690263086,0.1806554756195044,0.183650103045569,1,23.591505589985125,0.3001424576125018
ADI,23.12295105229593,0.2953981221148744,0.16025843518344,0.1639939648510091,1,23.209334561264182,-0.08638350896825031
AGYS,19.48996231040211,0.3878812993530861,0.22659664540109134,0.2347092607987594,0,18.907025132786153,0.5829371776159569
ALIT,21.546658865839778,0.7710157618213659,0.0,0.0,1,21.514899964221012,0.03175890161876538
AMAT,24.068527586278265,0.437587812336428,0.1258460236886633,0.2451731204832272,1,23.973058764449334,0.09546882182893057
AMD,24.215844100667923,0.18104412032342773,0.2342114217193607,0.0,1,23.884554920961627,0.331289179706296
AMPL,19.62692917918612,0.4167926519667969,0.29599238752032364,0.0,0,19.288062704623552,0.33886647456256824
AMZN,27.264417969429175,0.4975013507863899,0.0,0.121088624658119,1,26.96545602792466,0.2989619415045155
APH,23.760474343225482,0.6271838926618999,0.0,0.21454020775519056,1,23.258786383717137,0.5016879595083452
API,18.764674621972425,0.2194580771849635,0.3931673011619416,0.0326823838915309,0,18.89486313001952,-0.1301885080470946
APPF,20.624192428623005,0.2124746177973691,0.2006295522752597,0.06265517155767415,0,19.972241631466236,0.6519507971567684
APPN,20.37103893361936,1.0679683827623865,0.23677238571903622,0.5391061452513967,0,19.963959622927778,0.4070793106915822
ASML,24.201866151224632,0.6121511036929514,0.14173927479572118,0.1825496753729337,1,23.776011513826834,0.42585463739779783
ASYS,18.15424110747637,0.4251827764797088,0.03435579196291605,0.0,0,18.481757028459732,-0.32751592098336246
ATEN,19.46241638628272,0.6641129986202253,0.2293940979065182,0.1605648951745527,0,19.451506575979543,0.010909810303175504
AUDC,19.314413604387305,0.469695374899387,0.2117104810693766,0.1702386212991604,0,19.432619780278443,-0.1182061758911388
AVGO,24.88038173475309,0.5248638159586655,0.1718189929093556,0.0,1,24.225906070232288,0.6544756645208025
AWRE,16.63152859258591,0.2972980239279473,0.47497870850736557,0.0,0,16.588599155245706,0.04292943734020227
AXTI,18.283666363672978,0.2285182051453483,0.1279791895152353,0.0471516718591031,0,18.765106977786726,-0.4814406141137475
BAND,20.44349698323127,0.6200239971043874,0.16965634309610722,0.18817946685819253,0,20.16666151000712,0.2768354732241498
BIRD,18.842452178334838,0.6717754686114843,0.0,0.0,0,19.51181850111194,-0.6693663227771012
BL,20.348211727768263,0.788892873563741,0.15501315821036343,0.2174151944928257,0,20.07497346815684,0.27323825961142134
CDNS,22.37038227006692,0.4608390422359646,0.33207440308792735,0.275948448093138,1,21.993508849673674,0.37687342039324534
CEVA,18.512329684136507,0.1334119756037253,0.6827953064836949,0.0,0,18.607848870463922,-0.09551918632741518
CHKP,21.710303691617014,0.630802930928469,0.16204690043824282,0.06107416879795395,1,21.56909118514806,0.14121250646895334
CIEN,22.285508782207543,0.5346158613950289,0.1778651336500816,0.2108236769532974,1,22.01323127451874,0.272277507688802
CLSK,20.469268151450116,0.3167779180438939,0.0,0.05135216921950655,0,18.694707505581146,1.77456064586897
CMBM,18.88846315812539,1.214719428980942,0.2058504807541733,0.0,0,19.508902571590895,-0.6204394134655047
COUR,20.42130908334587,0.3643,0.16516939918869045,0.0,0,20.07653648498226,0.34477259836361185
CSCO,24.760228430930376,0.6169546409793034,0.1641543403819677,0.0828828828828828,1,24.66595382868535,0.09427460224502582
