Ticker,Year,Treatment_Group,Currency,TotalRevenue,PretaxIncome,NetIncome,Firm_Size,Leverage,RD_Intensity,Intangible_Ratio,ETR
AAPL,2022,1,USD,394328000000.0,119103000000.0,99803000000.0,26.589039601923314,0.8563535598361469,0.06657148363798665,0.0,0.16204461684424407
AAPL,2023,1,USD,383285000000.0,113736000000.0,96995000000.0,26.588551892475053,0.8237407929480435,0.07804897139204509,0.0,0.14719174228036858
AAPL,2024,1,USD,391035000000.0,123485000000.0,93736000000.0,26.62310839450708,0.8439640528248123,0.08022299794136074,0.0,0.24091185164189982
AAPL,2025,1,USD,408625000000.0,129535000000.0,99280000000.0,26.607259309399666,0.7947533828265705,0.08185744876108902,0.0,0.23356621762458024
AAPL,2025,1,USD,416161000000.0,132729000000.0,112010000000.0,26.607259309399666,0.7947533828265705,0.08302075398703868,0.0,0.15610002335586043
ABNB,2022,1,USD,8399000000.0,1989000000.0,1893000000.0,23.498226743331248,0.6533233570270607,0.17883081319204666,0.0,0.048265460030165915
ABNB,2023,1,USD,9917000000.0,2102000000.0,4792000000.0,23.750738996284465,0.604504722693146,0.1736412221437935,0.0,0.0
ABNB,2024,1,USD,11102000000.0,3331000000.0,2648000000.0,23.765833985337434,0.598644973519729,0.18519185732300486,0.0,0.20504353047132992
ABNB,2025,1,USD,11580000000.0,3309000000.0,2625000000.0,23.823718421270804,0.6308087175792507,0.19343696027633853,0.0,0.20670897552130554
ABNB,2025,1,USD,12241000000.0,3137000000.0,2511000000.0,23.823718421270804,0.6308087175792507,0.1923045502818397,0.0,0.1995537137392413
ACN,2022,1,USD,61594305000.0,9196167000.0,6877169000.0,24.579001836983252,0.5187165372606578,0.0,0.0,0.24001380140225814
ACN,2023,1,USD,64111745000.0,9139332000.0,6871557000.0,24.6598898410124,0.4836874714668983,0.0,0.0,0.23369344717972823
ACN,2024,1,USD,64896464000.0,9699323000.0,7264787000.0,24.747408994127554,0.478508569359031,0.0,0.0,0.2350809432782061
ACN,2025,1,USD,69672977000.0,10270393000.0,7678433000.0,24.903710064842322,0.5069803841116226,0.0,0.0,0.23738069224809605
ADBE,2022,1,USD,17606000000.0,6008000000.0,4756000000.0,24.025195216949896,0.4827535431621572,0.16965807111212086,0.0,0.20838881491344874
ADBE,2022,1,USD,17606000000.0,6008000000.0,4756000000.0,24.025195216949896,0.4827535431621572,0.16965807111212086,0.0,0.20838881491344874
ADBE,2023,1,USD,19409000000.0,6799000000.0,5428000000.0,24.117069284054853,0.4453138117465328,0.17893760626513472,0.0,0.2016473010736873
ADBE,2024,1,USD,21505000000.0,6931000000.0,5560000000.0,24.13210064573778,0.5334105193516374,0.183399209486166,0.0,0.19780695426345404
ADBE,2025,1,USD,23769000000.0,8734000000.0,7130000000.0,24.107520497878255,0.6059465690263086,0.1806554756195044,0.0,0.18365010304556903
ADI,2022,1,USD,12013953000.0,3098749000.0,2748561000.0,24.641317632642682,0.27507714848312254,0.14154525159204467,0.0,0.1130094757594113
ADI,2023,1,USD,12305539000.0,3608003000.0,3314579000.0,24.610882987665214,0.2711240398964817,0.1349143666116535,0.0,0.08132587472903986
ADI,2024,1,USD,9427157000.0,1777340000.0,1635273000.0,24.599211345736446,0.2706287848516753,0.1578273280056755,0.0,0.0799323708463209
ADI,2025,1,USD,11019707000.0,2712112000.0,2267342000.0,24.59431500299312,0.29539812211487443,0.16025843518344,0.0,0.16399396485100912
AGYS,2022,0,USD,162636000.0,6511000.0,6478000.0,19.18224329594487,0.3798946591832351,0.2848815760348262,0.0,0.005068345876209491
AGYS,2023,0,USD,198065000.0,15764000.0,14582000.0,19.30872013848012,0.4043310456064122,0.253755080402898,0.0,0.0749809692971327
AGYS,2024,0,USD,237464000.0,20684000.0,86195000.0,19.674671529799987,0.32518049253773934,0.23893727049152713,0.0,0.0
AGYS,2025,0,USD,275624000.0,25635000.0,23225000.0,19.889407263425714,0.3878812993530861,0.2264352886541085,0.0,0.09401209284181783
AGYS,2025,0,USD,288787000.0,23112000.0,14009000.0,19.889407263425714,0.3878812993530861,0.2255814839310634,0.0,0.3938646590515749
AGYS,2025,0,USD,310638000.0,38816000.0,30422000.0,19.889407263425714,0.3878812993530861,0.2277731636181021,0.0,0.2162510305028854
ALIT,2022,1,USD,2207000000.0,-124000000.0,-62000000.0,23.142299742583702,0.5470404984423676,0.0,0.0,0.0
ALIT,2023,1,USD,2386000000.0,-337000000.0,-345000000.0,23.10114391397589,0.5601929141161195,0.0,0.0,0.05934718100890208
ALIT,2024,1,USD,2332000000.0,-148000000.0,-157000000.0,22.82654596810609,0.47357500305138533,0.0,0.0,0.05405405405405406
